	AA	AE	AH	AO	AW	AY	B	CH	D	DH	EH	ER	EY	F	G	HH	IH	IY	JH	K	L	M	N	NG	OW	OY	P	R	S	SH	T	TH	UH	UW	V	W	Y	Z	ZH	eps
AA	0.225	0.035	0.05	0.05	0.05	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.005
AE	0.035	0.295	0.05	0.05	0.035	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.005
AH	0.05	0.05	0.26	0.05	0.035	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.005
AO	0.05	0.05	0.05	0.225	0.035	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.005
AW	0.05	0.035	0.035	0.035	0.255	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.005
AY	0.035	0.035	0.035	0.035	0.035	0.23	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.015	0.015	0.015	0.035	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.005
B	0.015	0.015	0.015	0.015	0.015	0.015	0.3715	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.015	0.015	0.015	0.015	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.0035
CH	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.405	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.005
D	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.3165	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.0035
DH	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.05	0.2965	0.015	0.015	0.015	0.015	0.015	0.035	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.05	0.015	0.015	0.015	0.015	0.015	0.015	0.035	0.0035
